bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4619,0.0219092750777962,34,23,8,19,98,134
4620,0.01157615200105986,34,22,8,20,97,160
4621,0.01436993740375924,34,24,6,16,110,216
4622,0.03169592089311579,34,19,8,23,153,316
4623,0.013924852644986968,34,22,9,21,105,138
4624,0.012102864398248009,34,24,9,19,85,94
4625,0.019181747719077748,34,23,9,20,114,162
4626,0.016901751895908083,34,22,11,23,109,118
4627,0.013553535904199793,34,25,7,16,56,80
4628,0.017211728664443898,34,22,10,22,119,158
4629,0.013636332692934624,34,19,10,25,122,206
4630,0.01985957834788611,34,26,6,14,57,78
4631,0.025716612809885638,34,24,8,18,82,106
4632,0.011357200575180824,34,21,10,23,137,194
4633,0.013097018625714569,34,19,12,27,127,206
4634,0.019260993428069313,34,22,10,22,104,128
4635,0.024774720602135647,34,22,7,19,108,192
4636,0.012838045945319732,34,23,10,21,117,126
4637,0.018135471520016856,34,23,8,19,102,164
4638,0.012277668555217086,34,22,10,22,113,134
4639,0.010751975462654065,34,24,9,19,85,100
4640,0.01077590846029701,34,21,10,23,116,172
4641,0.020942759787493978,34,22,10,22,127,148
4642,0.010379224581520338,34,22,7,19,66,126
4643,0.02181649583105881,34,19,9,24,164,294
4644,0.022225425986714446,34,23,9,20,95,134
4645,0.02807120998594904,34,22,10,22,125,170
4646,0.01581570577167691,34,24,7,17,87,138
4647,0.01679455318883516,34,19,10,25,122,206
4648,0.008682519395152966,34,20,9,23,132,244
4649,0.011833157238957615,34,20,9,23,98,176
4650,0.015199021275964897,34,23,10,21,99,108
4651,0.012375983769006053,34,22,9,21,103,178
4652,0.016519304238921066,34,23,8,19,121,172
4653,0.027222449061261565,34,19,10,25,145,220
4654,0.01950795629299009,34,21,8,21,149,350
4655,0.017483106730056163,34,21,10,23,112,148
4656,0.024789049063121175,34,20,10,24,137,190
4657,0.013714097243035996,34,24,7,17,64,108
4658,0.023607028610615907,34,23,6,17,99,276
4659,0.02254494136992749,34,20,11,25,133,166
4660,0.026641660385029714,34,19,9,24,118,238
4661,0.014298890966013666,34,23,8,19,89,134
4662,0.01509755081108434,34,22,9,21,127,206
4663,0.02042375857135874,34,22,10,22,117,162
4664,0.008291317484993985,34,19,10,25,102,164
4665,0.008812032209408498,34,21,8,21,102,182
4666,0.026184877158939694,34,26,5,13,50,110
4667,0.011940696774071852,34,25,6,15,78,120
4668,0.032758463938837634,34,17,10,27,118,210
4669,0.03202429655421634,34,20,10,24,115,166
4670,0.012324178050314001,34,21,10,23,112,160
4671,0.017308888189958502,34,21,10,23,139,228
4672,0.02522538633981164,34,20,10,24,132,216
4673,0.016705077673968394,34,24,7,17,79,130
4674,0.013198606252291259,34,24,8,18,100,118
4675,0.01331205093038668,34,24,8,18,107,140
4676,0.013978212202308118,34,23,8,19,79,118
4677,0.011706647462684766,34,19,11,26,130,186
4678,0.019266186639545865,34,20,10,24,156,258
4679,0.014135588838060723,34,20,10,24,110,182
4680,0.013871150084271977,34,20,10,24,103,148
4681,0.015138432418290965,34,24,9,19,93,108
4682,0.014638751549011442,34,20,8,22,95,212
4683,0.009406976071639449,34,23,8,19,83,128
4684,0.012090759139267871,34,23,9,20,133,196
4685,0.005836509817987667,34,21,9,22,132,200
4686,0.009826122133223592,34,24,9,19,83,92
4687,0.02958861566663991,34,20,10,24,126,192
4688,0.011185827995913708,34,21,9,22,129,194
4689,0.023133263104083875,34,25,9,18,114,114
4690,0.010472501151973995,34,22,8,20,121,228
4691,0.012440793935450205,34,20,10,24,135,264
4692,0.009712597457312858,34,22,10,22,100,130
4693,0.015697593547778693,34,21,7,20,114,262
4694,0.026239608499949933,34,21,9,22,120,230
4695,0.012724695066969879,34,22,11,23,133,142
4696,0.010275867319150894,34,23,7,18,111,192
4697,0.01671674619621133,34,20,11,25,92,122
4698,0.0289006097480507,34,21,10,23,116,176
4699,0.02605276061861708,34,19,10,25,151,248
4700,0.023294070344235206,34,22,10,22,128,216
4701,0.013883236779433317,34,19,10,25,136,226
4702,0.024155121977991564,34,23,7,18,105,282
