bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
3850,29,14,31,144,180
3851,28,15,33,109,136
3852,31,10,25,114,180
3853,28,15,33,136,172
3854,30,13,29,150,168
3855,29,13,30,154,214
3856,31,11,26,92,136
3857,26,14,34,165,276
3858,33,11,24,108,148
3859,27,14,33,161,242
3860,27,15,34,153,192
3861,31,11,26,109,170
3862,29,14,31,183,264
3863,29,11,28,97,166
3864,28,12,30,123,196
3865,29,16,33,163,172
3866,29,13,30,116,158
3867,30,11,27,130,226
3868,32,11,25,140,206
3869,28,11,29,179,354
3870,28,13,31,109,154
3871,29,12,29,154,250
3872,34,10,22,72,96
3873,25,13,34,124,220
3874,27,14,33,182,308
3875,26,16,36,151,208
3876,31,11,26,106,160
3877,33,11,24,82,100
3878,32,12,26,89,110
3879,29,13,30,122,182
3880,29,14,31,132,162
3881,30,14,30,135,198
3882,30,14,30,128,176
3883,31,9,24,99,174
3884,27,11,30,117,220
3885,31,13,28,128,158
3886,29,10,27,121,250
3887,29,14,31,132,168
3888,31,14,29,147,180
3889,30,12,28,70,100
3890,30,11,27,118,184
3891,31,15,30,114,114
3892,31,10,25,99,144
3893,28,12,30,93,156
3894,27,14,33,158,236
3895,33,11,24,126,206
3896,28,13,31,173,294
3897,28,15,33,157,202
3898,30,12,28,107,158
3899,31,10,25,100,172
3900,26,11,31,140,282
3901,30,14,30,144,180
3902,27,12,31,150,286
3903,29,13,30,139,190
3904,27,12,31,163,342
3905,28,14,32,131,170
3906,27,16,35,180,234
3907,33,8,21,94,150
3908,27,12,31,122,194
3909,30,11,27,127,194
3910,26,15,35,195,334
3911,28,12,30,91,152
3912,31,10,25,133,278
3913,29,15,32,131,146
3914,30,14,30,141,168
3915,28,13,31,113,152
3916,29,14,31,137,176
3917,32,14,28,108,108
3918,32,11,25,110,132
3919,29,10,27,115,252
3920,26,14,34,134,246
3921,28,14,32,136,178
3922,27,13,32,129,220
3923,28,9,27,86,194
3924,30,15,31,111,120
3925,29,14,31,141,174
3926,27,12,31,166,360
3927,34,9,21,79,110
3928,30,12,28,135,196
3929,29,12,29,126,162
3930,29,14,31,117,150
3931,30,11,27,111,172
3932,31,13,28,142,166
3933,28,13,31,127,210
3934,30,12,28,79,118
3935,27,16,35,130,166
3936,28,11,29,129,244
3937,31,11,26,124,228
3938,27,10,29,91,212
3939,30,13,29,151,220
3940,24,14,36,103,190
3941,27,14,33,140,200
3942,30,13,29,135,168
3943,24,13,35,119,256
3944,30,11,27,109,172
3945,26,14,34,129,198
3946,30,12,28,161,262
3947,30,12,28,123,186
3948,27,14,33,183,270
3949,29,14,31,110,140
3950,28,15,33,160,196
3951,28,12,30,171,372
3952,30,12,28,143,200
3953,29,16,33,126,132
3954,29,15,32,169,214
3955,31,11,26,108,184
3956,29,14,31,117,156
3957,27,11,30,120,308
3958,28,13,31,117,168
3959,29,13,30,116,188
3960,31,11,26,82,140
3961,31,10,25,119,200
3962,28,11,29,126,248
3963,31,12,27,117,156
3964,30,12,28,156,218
3965,27,14,33,177,286
3966,27,15,34,158,216
3967,29,14,31,94,112
3968,31,11,26,117,162
3969,26,12,32,92,168
3970,27,11,30,133,238
3971,28,11,29,167,322
3972,26,13,33,148,244
3973,30,12,28,120,192
